epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3509.09,1.75267,3.14805,2.16106,0.51354,0.26579,0.2094,0.07155,2.23006,3.19088,2.57836,0.000302804,0.000302804,0.000302804
2,11265.7,1.73737,2.52646,2.12218,0.59694,0.26486,0.26634,0.09767,2.10408,2.35556,2.51135,0.000599806,0.000599806,0.000599806
3,19799.9,1.68544,2.39485,2.07164,0.50209,0.30524,0.27374,0.10906,2.01696,2.03495,2.41227,0.000890809,0.000890809,0.000890809
4,31656.8,1.6305,2.1966,2.00548,0.58777,0.37294,0.38195,0.1488,2.04862,1.87414,2.37575,0.000882003,0.000882003,0.000882003
5,48267.4,1.57534,2.02121,1.94607,0.64985,0.29581,0.30435,0.12924,1.91824,1.87701,2.2923,0.000873004,0.000873004,0.000873004
6,84342.1,1.52162,1.89886,1.90298,0.6192,0.42733,0.42814,0.18546,1.84897,1.69634,2.19829,0.000864004,0.000864004,0.000864004
7,213656,1.49807,1.82941,1.88945,0.67949,0.42749,0.43475,0.19048,1.98046,1.67509,2.3182,0.000855005,0.000855005,0.000855005
8,2837.85,1.4568,1.73572,1.84396,0.70071,0.55241,0.57126,0.24253,1.91008,1.49131,2.24902,0.000846006,0.000846006,0.000846006
9,7535.61,1.44515,1.64748,1.82046,0.73909,0.52774,0.58448,0.25769,1.87075,1.43271,2.15394,0.000837007,0.000837007,0.000837007
10,13878,1.42967,1.63594,1.80492,0.80959,0.53161,0.60776,0.27248,1.89476,1.43114,2.20388,0.000828008,0.000828008,0.000828008
11,23229.1,1.40086,1.56343,1.78066,0.78442,0.56682,0.62584,0.28476,1.84717,1.35938,2.14917,0.000819009,0.000819009,0.000819009
12,35648.6,1.3748,1.51056,1.75661,0.65415,0.63471,0.64014,0.30139,1.87752,1.25918,2.16693,0.00081001,0.00081001,0.00081001
13,49996.2,1.35635,1.46817,1.74572,0.7135,0.63756,0.66901,0.33362,1.71909,1.22841,2.05479,0.000801011,0.000801011,0.000801011
14,75919.7,1.34817,1.43663,1.74501,0.73513,0.59113,0.6236,0.28059,1.91276,1.28243,2.23514,0.000792012,0.000792012,0.000792012
15,130365,1.34816,1.43366,1.72879,0.78843,0.58,0.66976,0.32639,1.76956,1.25075,2.09579,0.000783013,0.000783013,0.000783013
16,293529,1.32203,1.38211,1.71866,0.69545,0.66364,0.67967,0.32418,1.80353,1.20392,2.12169,0.000774013,0.000774013,0.000774013
